time;memory;cpu
2022-01-15 14:39:42.412132;23.857654408113124;0.0
2022-01-15 14:39:42.515282;29.79795603648815;96.9
2022-01-15 14:39:42.686051;30.317180271308715;93.9
2022-01-15 14:39:42.791814;30.425259416085105;113.6
2022-01-15 14:39:42.895858;31.045767009069763;114.8
2022-01-15 14:39:42.999142;31.223633654826315;222.7
2022-01-15 14:39:43.103102;31.335372069317025;211.6
2022-01-15 14:39:43.206470;31.3612483337254;212.9
2022-01-15 14:39:43.311964;31.369873755194856;208.7
2022-01-15 14:39:43.417321;31.369873755194856;199.2
2022-01-15 14:39:43.521051;31.378499176664317;212.5
2022-01-15 14:39:43.630432;31.378499176664317;182.7
2022-01-15 14:39:43.733671;31.39561933139915;193.5
2022-01-15 14:39:43.837749;31.39561933139915;201.9
2022-01-15 14:39:43.948499;31.39561933139915;180.5
2022-01-15 14:39:44.051638;31.39561933139915;174.7
2022-01-15 14:39:44.157532;31.404244752868603;188.7
2022-01-15 14:39:44.264592;31.404244752868603;205.6
2022-01-15 14:39:44.368299;31.404244752868603;183.0
2022-01-15 14:39:44.470601;31.464361326746648;215.0
2022-01-15 14:39:44.574009;31.4745550066651;203.2
2022-01-15 14:39:44.679737;31.4745550066651;199.1
2022-01-15 14:39:44.782594;31.4745550066651;203.5
2022-01-15 14:39:44.886668;31.4745550066651;211.4
2022-01-15 14:39:44.991375;31.4745550066651;201.1
2022-01-15 14:39:45.098057;31.4745550066651;187.0
2022-01-15 14:39:45.206396;31.4745550066651;193.9
2022-01-15 14:39:45.311845;31.483180428134556;199.1
2022-01-15 14:39:45.415478;31.483180428134556;212.9
2022-01-15 14:39:45.518506;31.483180428134556;203.2
2022-01-15 14:39:45.621649;31.483180428134556;213.3
2022-01-15 14:39:45.724702;31.483180428134556;194.2
2022-01-15 14:39:45.828859;31.483180428134556;211.1
2022-01-15 14:39:45.931807;31.491805849604017;213.7
2022-01-15 14:39:46.034365;31.491805849604017;214.5
2022-01-15 14:39:46.136672;31.491805849604017;205.3
2022-01-15 14:39:46.240066;31.491805849604017;212.8
2022-01-15 14:39:46.343173;0;0
2022-01-15 14:39:56.356026;0;0
2022-01-15 14:39:56.364292;31.548263153767742;1.0
2022-01-15 14:39:56.473235;32.56227292924541;91.1
2022-01-15 14:39:56.579722;32.69988760814449;176.9
2022-01-15 14:39:56.683394;32.71713845108341;192.8
2022-01-15 14:39:56.785886;32.71713845108341;195.1
